,Description
0,The @raptors bench trio of @sergeibaka @normanpowell4 & @fredvanvleet combine for 48 in Game 4!
1,@kyle_lowry7 pulls from deep for the @raptors in the 4th on TNT!
2,@k_mid22 with some english on the @bucks dime!
3,Kawhi punches it home with the left on TNT!
4,@giannis_an34 goes baseline early to rock the rim on TNT!
5,"Congrats to the 2018-19 NBA All-Rookie First Team, led by unanimous selections @lukadoncic & @traeyoung!"
6,The @warriors locked in for four games to advance to the #NBAFinals presented by YouTube TV! #GatoradeZero
7,Will the @bucks take a commanding 3-1 lead... or will the @raptors even the ECF up 2-2??
8,TAP to SHOP the @warriors Western Conference Champions gear from @nbastore!
9,Hey @stephencurry30... that was the first time teammates had triple-doubles in the same #NBAPlayoffs game in @nbahistory!
10,@stephencurry30 (37/13/11) & @money23green (18/14/11) become the first teammates in #NBAPlayoffs history to record a triple-double in the same game!
11,The @warriors defeat @trailblazers 119-117 to advance to their 5th consecutive #NBAFinals presented by YouTube TV!
12,@money23green (18/14/11) reacts to a 5th straight #NBAFinals appearance with the @warriors!
13,The @warriors win the West & advance to their 5th consecutive #NBAFinals presented by YouTube TV!
14,@money23green triple extends the @warriors lead late in OT on ESPN! #NBAPlayoffs
15,@stephencurry30 & @money23green become the first teammates in @nbahistory to record triple-doubles in the same #NBAPlayoffs game!
16,?? @meyersleonard11! ?? (??: ESPN)
17,@money23green notches the triple-double for the @warriors with 14/12/11 in the 4th! #TripleDoubleAlert
18,@stephencurry30 dime & hesi in the 4th on ESPN! #NBAPlayoffs
19,@stephencurry30 notches the triple-double for the @warriors with 37/10/10 in the 4th! #TripleDoubleAlert
20,@damianlillard uses his dribble into the @trailblazers triple!
21,@meyersleonard11 puts up 25 in the first half for the @trailblazers on ESPN!
22,@stephencurry30 tosses it up early on ESPN!
23,"@money23green arrives for Game 4 of the Western Conference Finals, preparing for action with his #PowerbeatsPro ??"
24,In @budweiserusa #LegendaryMoments history.. we showcase Brandon Roy’s 18-point 4th qtr to overcome @trailblazers 23-point deficit in 2011! Who do you think will take Game 4... the @trailblazers or @warriors?
25,"@money23green showcases his ?? IQ on both ends of the floor! #NBABreakdown
...
??: @warriors x @trailblazers G4
?: 9:00pm/et ??: @nbaonespn"
26,It’s WIN or Go Home for the @trailblazers... as the @warriors look to advance... 9:00pm/et @nbaonespn!
27,The @raptors get on the board at home in the Eastern Conference Finals!
28,Kawhi on tonight’s gritty @raptors 2OT win with @kristenledlow!
29,Kawhi Leonard scores 19 of his game-high 36 in the 4th & OT periods to power the @raptors in Game 3 of the ECF!
30,The @raptors take Game 3 of the Eastern Conference Finals in exciting fashion!
31,The @raptors (1-2) defeat the @bucks 118-112 in double-OT at home in Game 3 of the Eastern Conference Finals! #NBAPlayoffs
32,?? KAWHI! ??
33,@k_mid22’s second chance sends @bucks/@raptors to OT on TNT!
34,?? @reggiemillertnt predicts the @fredvanvleet triple! ??
35,Offense or Defense?
36,???? Suction Cups! ????
37,@pskills43 muscles his way through the lane in Game 3! #NBAPlayoffs (??: @nbaontnt)
