Engagements,Followers at Posting,Created,Type
502093,36984682,2019-05-21 23:30:51 EDT,Video
603380,36984682,2019-05-21 22:53:33 EDT,Video
603380,36984682,2019-05-21 22:19:58 EDT,Video
725100,36984682,2019-05-21 22:02:41 EDT,Video
661446,36984682,2019-05-21 20:47:49 EDT,Video
322444,36955156,2019-05-21 14:02:32 EDT,Photo
722540,36955156,2019-05-21 12:30:53 EDT,Video
339265,36955156,2019-05-21 08:59:02 EDT,Photo
443330,36955156,2019-05-21 00:48:16 EDT,Photo
652193,36955156,2019-05-21 00:38:18 EDT,Video
652193,36955156,2019-05-21 00:31:13 EDT,Video
443330,36955156,2019-05-21 00:24:13 EDT,Photo
713427,36955156,2019-05-21 00:21:06 EDT,Video
470233,36955156,2019-05-20 23:54:39 EDT,Photo
675091,36955156,2019-05-20 23:45:36 EDT,Video
443543,36955156,2019-05-20 23:33:24 EDT,Photo
718485,36955156,2019-05-20 23:29:25 EDT,Video
427347,36955156,2019-05-20 23:27:54 EDT,Photo
696779,36955156,2019-05-20 23:24:11 EDT,Video
569271,36955156,2019-05-20 23:22:01 EDT,Photo
603391,36955156,2019-05-20 22:40:42 EDT,Video
603391,36955156,2019-05-20 22:33:01 EDT,Video
711819,36955156,2019-05-20 21:26:13 EDT,Video
404760,36955156,2019-05-20 20:31:46 EDT,Photo
534517,36928789,2019-05-20 17:54:34 EDT,Video
590945,36928789,2019-05-20 12:05:19 EDT,Video
354472,36928789,2019-05-20 10:07:04 EDT,Photo
412221,36928789,2019-05-20 00:45:16 EDT,Photo
646075,36928789,2019-05-19 23:09:33 EDT,Video
708249,36928789,2019-05-19 22:49:10 EDT,Video
708249,36928789,2019-05-19 22:40:02 EDT,Video
366002,36928789,2019-05-19 22:19:18 EDT,Photo
843345,36928789,2019-05-19 22:00:13 EDT,Video
589358,36928789,2019-05-19 21:34:15 EDT,Video
646075,36928789,2019-05-19 21:26:37 EDT,Video
443147,36928789,2019-05-19 20:43:48 EDT,Photo
843345,36928789,2019-05-19 20:37:19 EDT,Video
686948,36928789,2019-05-19 20:35:58 EDT,Video
708249,36928789,2019-05-19 20:09:08 EDT,Video
646086,36899744,2019-05-19 19:26:30 EDT,Video
591423,36899744,2019-05-19 14:14:20 EDT,Video
554182,36899744,2019-05-19 11:43:36 EDT,Video
367570,36899744,2019-05-19 09:07:02 EDT,Photo
436512,36899744,2019-05-19 01:24:21 EDT,Photo
815419,36899744,2019-05-19 00:14:11 EDT,Video
436512,36899744,2019-05-19 00:09:18 EDT,Album
505848,36899744,2019-05-18 23:57:36 EDT,Photo
762187,36899744,2019-05-18 23:36:51 EDT,Video
775600,36899744,2019-05-18 23:31:49 EDT,Video
459715,36899744,2019-05-18 23:18:46 EDT,Photo
810406,36899744,2019-05-18 22:53:22 EDT,Video
686960,36899744,2019-05-18 22:43:48 EDT,Video
626655,36899744,2019-05-18 22:06:19 EDT,Video
747095,36872342,2019-05-18 17:08:09 EDT,Video
577007,36872342,2019-05-18 14:34:20 EDT,Video
359722,36872342,2019-05-18 11:11:13 EDT,Album
435542,36872342,2019-05-18 09:32:22 EDT,Photo
470061,36872342,2019-05-18 00:00:20 EDT,Photo
603424,36872342,2019-05-17 23:17:31 EDT,Video
647517,36872342,2019-05-17 22:47:20 EDT,Video
661494,36872342,2019-05-17 20:57:25 EDT,Video
661494,36872342,2019-05-17 20:43:18 EDT,Video
465482,36846041,2019-05-17 20:14:22 EDT,Album
608357,36846041,2019-05-17 19:28:37 EDT,Video
507998,36846041,2019-05-17 17:13:20 EDT,Video
471492,36846041,2019-05-17 14:22:35 EDT,Video
297294,36846041,2019-05-17 10:29:53 EDT,Photo
470368,36846041,2019-05-17 01:48:20 EDT,Photo
608834,36846041,2019-05-17 01:04:29 EDT,Video
775812,36846041,2019-05-17 00:09:42 EDT,Video
652240,36846041,2019-05-17 00:04:49 EDT,Video
427470,36846041,2019-05-17 00:00:58 EDT,Photo
675140,36846041,2019-05-16 23:44:41 EDT,Video
538831,36846041,2019-05-16 23:37:16 EDT,Video
661506,36846041,2019-05-16 23:21:12 EDT,Video
597919,36846041,2019-05-16 23:14:55 EDT,Video
647529,36846041,2019-05-16 22:44:58 EDT,Video
655460,36846041,2019-05-16 21:57:39 EDT,Video
689726,36817926,2019-05-16 19:28:43 EDT,Video
420467,36817926,2019-05-16 18:31:23 EDT,Album
580642,36817926,2019-05-16 14:59:18 EDT,Video
674842,36817926,2019-05-16 12:27:36 EDT,Video
368291,36817926,2019-05-16 10:35:59 EDT,Photo
454003,36817926,2019-05-16 00:32:21 EDT,Photo
661518,36817926,2019-05-15 23:17:15 EDT,Video
350706,36817926,2019-05-15 23:03:06 EDT,Photo
661518,36817926,2019-05-15 23:00:48 EDT,Video
661518,36817926,2019-05-15 21:58:40 EDT,Video
725178,36817926,2019-05-15 21:54:08 EDT,Video
569098,36817926,2019-05-15 21:43:49 EDT,Video
661518,36817926,2019-05-15 21:39:46 EDT,Video
597930,36817926,2019-05-15 21:01:57 EDT,Video
647540,36817926,2019-05-15 20:45:49 EDT,Video
675423,36784913,2019-05-15 18:41:22 EDT,Video
390471,36784913,2019-05-15 18:05:44 EDT,Photo
680212,36784913,2019-05-15 17:05:18 EDT,Video
304208,36784913,2019-05-15 15:05:30 EDT,Photo
463910,36784913,2019-05-15 13:18:17 EDT,Video
290887,36784913,2019-05-15 11:22:44 EDT,Photo
460231,36784913,2019-05-15 00:52:35 EDT,Photo
433009,36784913,2019-05-14 23:44:44 EDT,Photo
773272,36784913,2019-05-14 23:18:53 EDT,Video
711896,36784913,2019-05-14 22:54:46 EDT,Video
711896,36784913,2019-05-14 22:26:35 EDT,Video
668994,36784913,2019-05-14 21:54:56 EDT,Video
449479,36784913,2019-05-14 21:28:45 EDT,Photo
590706,36784913,2019-05-14 21:19:22 EDT,Video
449479,36784913,2019-05-14 21:09:37 EDT,Photo
666938,36756045,2019-05-14 19:35:11 EDT,Video
675435,36756045,2019-05-14 14:17:01 EDT,Video
375610,36756045,2019-05-14 12:32:02 EDT,Photo
410237,36756045,2019-05-14 09:30:57 EDT,Photo
426732,36756045,2019-05-13 21:18:34 EDT,Album
602840,36716811,2019-05-13 19:01:12 EDT,Video
384270,36716811,2019-05-13 12:58:02 EDT,Photo
297205,36716811,2019-05-13 09:31:40 EDT,Album
352101,36716811,2019-05-12 23:54:02 EDT,Photo
789225,36716811,2019-05-12 22:02:48 EDT,Video
365493,36716811,2019-05-12 21:51:49 EDT,Photo
719941,36716811,2019-05-12 21:39:27 EDT,Video
402171,36716811,2019-05-12 21:37:02 EDT,Photo
640251,36716811,2019-05-12 20:37:26 EDT,Video
668021,36716811,2019-05-12 20:33:01 EDT,Video
769422,36686842,2019-05-12 20:09:36 EDT,Video
693385,36686842,2019-05-12 19:48:08 EDT,Video
646168,36686842,2019-05-12 19:25:41 EDT,Video
365421,36686842,2019-05-12 19:06:29 EDT,Photo
654401,36686842,2019-05-12 18:39:52 EDT,Video
654401,36686842,2019-05-12 18:37:41 EDT,Video
402092,36686842,2019-05-12 18:13:58 EDT,Photo
633797,36686842,2019-05-12 18:02:23 EDT,Video
591498,36686842,2019-05-12 17:36:19 EDT,Video
633797,36686842,2019-05-12 17:24:39 EDT,Video
578158,36686842,2019-05-12 16:28:13 EDT,Video
288127,36686842,2019-05-12 14:14:45 EDT,Photo
639194,36686842,2019-05-12 12:53:52 EDT,Video
333581,36686842,2019-05-12 11:40:34 EDT,Photo
793110,36686842,2019-05-12 10:33:06 EDT,Video
403891,36686842,2019-05-12 07:57:27 EDT,Photo
754705,36655209,2019-05-11 18:13:51 EDT,Video
413357,36655209,2019-05-11 12:04:50 EDT,Photo
516495,36655209,2019-05-11 01:32:14 EDT,Photo
798306,36655209,2019-05-11 00:10:17 EDT,Video
469391,36655209,2019-05-11 00:06:49 EDT,Photo
459356,36655209,2019-05-10 23:41:15 EDT,Photo
675214,36655209,2019-05-10 23:34:17 EDT,Video
648043,36655209,2019-05-10 22:51:00 EDT,Video
689788,36655209,2019-05-10 22:07:46 EDT,Video
647599,36655209,2019-05-10 22:06:39 EDT,Video
379390,36655209,2019-05-10 21:20:17 EDT,Album
610554,36632094,2019-05-10 18:49:01 EDT,Video
346280,36632094,2019-05-10 11:45:57 EDT,Photo
365969,36632094,2019-05-10 02:12:15 EDT,Photo
504415,36632094,2019-05-10 01:34:34 EDT,Video
552958,36632094,2019-05-10 01:24:09 EDT,Video
365969,36632094,2019-05-10 01:22:34 EDT,Photo
678849,36632094,2019-05-10 01:00:45 EDT,Video
606171,36632094,2019-05-10 00:42:43 EDT,Video
808337,36632094,2019-05-10 00:23:50 EDT,Video
647611,36632094,2019-05-09 23:38:41 EDT,Video
380131,36632094,2019-05-09 22:55:07 EDT,Photo
603511,36632094,2019-05-09 22:05:04 EDT,Video
661590,36632094,2019-05-09 21:18:42 EDT,Video
725257,36632094,2019-05-09 20:52:50 EDT,Video
647611,36632094,2019-05-09 20:35:33 EDT,Video
556966,36608321,2019-05-09 16:07:50 EDT,Video
299679,36608321,2019-05-09 12:21:38 EDT,Photo
627177,36608321,2019-05-09 10:34:07 EDT,Video
453378,36608321,2019-05-09 04:30:10 EDT,Photo
608922,36608321,2019-05-09 01:33:50 EDT,Video
759530,36608321,2019-05-09 01:29:16 EDT,Video
498876,36608321,2019-05-09 01:22:06 EDT,Photo
672657,36608321,2019-05-09 00:54:46 EDT,Video
673117,36608321,2019-05-09 00:15:50 EDT,Video
615205,36608321,2019-05-09 00:02:44 EDT,Video
635749,36608321,2019-05-08 23:36:49 EDT,Video
647623,36608321,2019-05-08 22:49:09 EDT,Video
661602,36608321,2019-05-08 22:38:44 EDT,Video
385369,36608321,2019-05-08 22:30:21 EDT,Photo
771154,36608321,2019-05-08 22:20:04 EDT,Video
788535,36608321,2019-05-08 21:17:42 EDT,Video
590770,36608321,2019-05-08 20:25:23 EDT,Video
341420,36590040,2019-05-08 20:06:04 EDT,Photo
576028,36590040,2019-05-08 18:43:45 EDT,Video
471569,36590040,2019-05-08 17:01:58 EDT,Video
322058,36590040,2019-05-08 12:34:49 EDT,Photo
360753,36590040,2019-05-08 10:55:12 EDT,Photo
358126,36590040,2019-05-08 02:52:33 EDT,Photo
606193,36590040,2019-05-08 02:01:32 EDT,Video
358126,36590040,2019-05-08 01:22:59 EDT,Photo
641715,36590040,2019-05-07 23:43:42 EDT,Video
725284,36590040,2019-05-07 22:00:14 EDT,Video
709959,36590040,2019-05-07 21:26:34 EDT,Video
655567,36590040,2019-05-07 20:51:28 EDT,Video
661614,36590040,2019-05-07 20:50:34 EDT,Video
463487,36564548,2019-05-07 18:25:50 EDT,Video
539003,36564548,2019-05-07 14:09:18 EDT,Video
353893,36564548,2019-05-07 12:35:18 EDT,Album
679351,36564548,2019-05-07 00:36:08 EDT,Video
442193,36564548,2019-05-07 00:19:30 EDT,Photo
590792,36564548,2019-05-06 23:44:38 EDT,Video
771710,36564548,2019-05-06 23:38:18 EDT,Video
365439,36564548,2019-05-06 23:16:11 EDT,Photo
641727,36564548,2019-05-06 22:26:25 EDT,Video
757044,36564548,2019-05-06 22:05:06 EDT,Video
453792,36564548,2019-05-06 21:34:30 EDT,Photo
647646,36564548,2019-05-06 21:31:15 EDT,Video
703483,36564548,2019-05-06 21:22:08 EDT,Video
590792,36564548,2019-05-06 21:00:25 EDT,Video
788563,36564548,2019-05-06 20:43:35 EDT,Video
590802,36542637,2019-05-06 19:20:52 EDT,Video
